sample_code,population,count,total_count,percentage
sample00000,b_cell,10908,93214,11.702104834037806
sample00000,cd4_t_cell,20491,93214,21.98274937241187
sample00000,cd8_t_cell,24440,93214,26.21923745360139
sample00000,monocyte,23511,93214,25.222606046302058
sample00000,nk_cell,13864,93214,14.873302293646878
sample00001,b_cell,6777,100824,6.721613901452035
sample00001,cd4_t_cell,33459,100824,33.1855510592716
sample00001,cd8_t_cell,19407,100824,19.248393239704832
sample00001,monocyte,23011,100824,22.822938982781878
sample00001,nk_cell,18170,100824,18.021502816789653
sample00002,b_cell,9794,92822,10.551377906099848
sample00002,cd4_t_cell,24274,92822,26.151127965353044
sample00002,cd8_t_cell,22940,92822,24.713968671220186
sample00002,monocyte,18332,92822,19.749628320872205
sample00002,nk_cell,17482,92822,18.83389713645472
sample00003,b_cell,10081,93160,10.821167883211679
sample00003,cd4_t_cell,36157,93160,38.81172176899957
sample00003,cd8_t_cell,20271,93160,21.75933877200515
sample00003,monocyte,12610,93160,13.53585229712323
sample00003,nk_cell,14041,93160,15.07191927866037
sample00004,b_cell,4372,107903,4.05178725336645
sample00004,cd4_t_cell,38293,107903,35.48835528205888
sample00004,cd8_t_cell,33778,107903,31.304041592912153
sample00004,monocyte,14933,107903,13.83928157697191
sample00004,nk_cell,16527,107903,15.316534294690602
sample00005,b_cell,15431,105359,14.64611471255422
sample00005,cd4_t_cell,30805,105359,29.23812868383337
sample00005,cd8_t_cell,31940,105359,30.315397830275536
sample00005,monocyte,15779,105359,14.976413975075694
sample00005,nk_cell,11404,105359,10.823944798261182
sample00006,b_cell,5897,99774,5.910357407741495
sample00006,cd4_t_cell,28319,99774,28.383145909756045
sample00006,cd8_t_cell,31296,99774,31.36688916952312
sample00006,monocyte,21606,99774,21.654940164772384
sample00006,nk_cell,12656,99774,12.684667348206949
sample00007,b_cell,10403,98424,10.569576526050557
sample00007,cd4_t_cell,33870,98424,34.4123384540356
sample00007,cd8_t_cell,13504,98424,13.72023083800699
sample00007,monocyte,18031,98424,18.319718767780216
sample00007,nk_cell,22616,98424,22.978135414126637
sample00008,b_cell,8829,90353,9.771673325733513
sample00008,cd4_t_cell,21307,90353,23.581950793000786
sample00008,cd8_t_cell,26215,90353,29.013978506524406
sample00008,monocyte,16378,90353,18.126680907108785
sample00008,nk_cell,17624,90353,19.50571646763251
sample00009,b_cell,7650,95821,7.9836361549138495
sample00009,cd4_t_cell,21097,95821,22.01709437388464
sample00009,cd8_t_cell,33334,95821,34.78778138403899
sample00009,monocyte,15676,95821,16.35967063587314
sample00009,nk_cell,18064,95821,18.85181745128938
sample00010,b_cell,13203,107537,12.277634674577122
sample00010,cd4_t_cell,27873,107537,25.919450979662813
sample00010,cd8_t_cell,21339,107537,19.843402735802563
sample00010,monocyte,31913,107537,29.676297460408975
sample00010,nk_cell,13209,107537,12.283214149548527
sample00011,b_cell,10621,89815,11.825418916662027
sample00011,cd4_t_cell,29391,89815,32.72393252797417
sample00011,cd8_t_cell,19786,89815,22.02972777375717
sample00011,monocyte,16497,89815,18.367755942771254
sample00011,nk_cell,13520,89815,15.053164838835384
sample00012,b_cell,14128,109579,12.89298131941339
sample00012,cd4_t_cell,40320,109579,36.79537137590232
sample00012,cd8_t_cell,21720,109579,19.821316128090235
sample00012,monocyte,18802,109579,17.158397138137783
sample00012,nk_cell,14609,109579,13.331934038456271
sample00013,b_cell,10681,109488,9.755406985240391
sample00013,cd4_t_cell,31697,109488,28.95020458863072
sample00013,cd8_t_cell,19994,109488,18.261361975741632
sample00013,monocyte,22073,109488,20.16020020458863
sample00013,nk_cell,25043,109488,22.872826245798628
sample00014,b_cell,6113,92904,6.579910445190734
sample00014,cd4_t_cell,27223,92904,29.30229053646775
sample00014,cd8_t_cell,25851,92904,27.825497287522605
sample00014,monocyte,24463,92904,26.331481959872555
sample00014,nk_cell,9254,92904,9.960819770946355
sample00015,b_cell,8261,102691,8.044521915260344
sample00015,cd4_t_cell,36217,102691,35.26793974155476
sample00015,cd8_t_cell,21523,102691,20.9589934853103
sample00015,monocyte,20937,102691,20.388349514563107
sample00015,nk_cell,15753,102691,15.340195343311489
sample00016,b_cell,7433,95824,7.756929370512607
sample00016,cd4_t_cell,33881,95824,35.35753047253298
sample00016,cd8_t_cell,22881,95824,23.87815161128736
sample00016,monocyte,22197,95824,23.16434296209718
sample00016,nk_cell,9432,95824,9.843045583569879
sample00017,b_cell,3226,98639,3.27051166374355
sample00017,cd4_t_cell,36405,98639,36.90730846825292
sample00017,cd8_t_cell,20404,98639,20.6855300641734
sample00017,monocyte,17865,98639,18.111497480712497
sample00017,nk_cell,20739,98639,21.02515232311763
sample00018,b_cell,3578,101123,3.5382652808955433
sample00018,cd4_t_cell,32675,101123,32.31213472701561
sample00018,cd8_t_cell,29520,101123,29.1921719094568
sample00018,monocyte,19813,101123,19.5929709363844
sample00018,nk_cell,15537,101123,15.36445714624764
sample00019,b_cell,8022,97405,8.235716852317642
sample00019,cd4_t_cell,30759,97405,31.57846106462707
sample00019,cd8_t_cell,27175,97405,27.89897849186387
sample00019,monocyte,20466,97405,21.011241722704174
sample00019,nk_cell,10983,97405,11.275601868487243
sample00020,b_cell,6382,97228,6.563952770806764
sample00020,cd4_t_cell,32731,97228,33.664170814991564
sample00020,cd8_t_cell,17469,97228,17.96704652980623
sample00020,monocyte,22590,97228,23.23404780515901
sample00020,nk_cell,18056,97228,18.570782079236434
sample00021,b_cell,10337,100750,10.260049627791563
sample00021,cd4_t_cell,31535,100750,31.300248138957816
sample00021,cd8_t_cell,19144,100750,19.001488833746897
sample00021,monocyte,26971,100750,26.770223325062037
sample00021,nk_cell,12763,100750,12.667990074441688
sample00022,b_cell,9563,92670,10.319412970756447
sample00022,cd4_t_cell,32814,92670,35.40951764325024
sample00022,cd8_t_cell,22424,92670,24.197690730549258
sample00022,monocyte,16304,92670,17.593611740584873
sample00022,nk_cell,11565,92670,12.479766914859178
sample00023,b_cell,6924,104960,6.596798780487805
sample00023,cd4_t_cell,29844,104960,28.433689024390247
sample00023,cd8_t_cell,28080,104960,26.753048780487802
sample00023,monocyte,24320,104960,23.170731707317074
sample00023,nk_cell,15792,104960,15.045731707317072
sample00024,b_cell,7552,99969,7.554341845972251
sample00024,cd4_t_cell,35270,99969,35.28093709049806
sample00024,cd8_t_cell,27821,99969,27.829627184427174
sample00024,monocyte,9645,99969,9.647990877171923
sample00024,nk_cell,19681,99969,19.6871030019306
sample00025,b_cell,11714,95534,12.261603198861138
sample00025,cd4_t_cell,30323,95534,31.740532166558506
sample00025,cd8_t_cell,21407,95534,22.407729185420898
sample00025,monocyte,11789,95534,12.340109280465592
sample00025,nk_cell,20301,95534,21.250026168693868
sample00026,b_cell,7936,95777,8.285914154755316
sample00026,cd4_t_cell,34545,95777,36.0681583261117
sample00026,cd8_t_cell,23786,95777,24.834772440147425
sample00026,monocyte,15581,95777,16.267997535942868
sample00026,nk_cell,13929,95777,14.543157543042692
sample00027,b_cell,8850,93164,9.49937744193036
sample00027,cd4_t_cell,26079,93164,27.9925722382036
sample00027,cd8_t_cell,21268,93164,22.828560388132754
sample00027,monocyte,18776,93164,20.153707440642307
sample00027,nk_cell,18191,93164,19.52578249109098
sample00028,b_cell,11386,106062,10.735230336972714
sample00028,cd4_t_cell,28400,106062,26.77679093360487
sample00028,cd8_t_cell,28155,106062,26.545793969564972
sample00028,monocyte,29251,106062,27.579151816861835
sample00028,nk_cell,8870,106062,8.363032942995606
sample00029,b_cell,5606,97156,5.7701016921240065
sample00029,cd4_t_cell,31305,97156,32.22137593149162
sample00029,cd8_t_cell,28476,97156,29.309564000164684
sample00029,monocyte,15909,97156,16.374696364609495
sample00029,nk_cell,15860,97156,16.324262011610195
sample00030,b_cell,6413,93972,6.824373217554165
sample00030,cd4_t_cell,20437,93972,21.747967479674795
sample00030,cd8_t_cell,25167,93972,26.78138168816243
sample00030,monocyte,19638,93972,20.897714212744223
sample00030,nk_cell,22317,93972,23.748563401864384
sample00031,b_cell,7007,106625,6.571629542790153
sample00031,cd4_t_cell,31653,106625,29.686283704572098
sample00031,cd8_t_cell,30482,106625,28.588042203985932
sample00031,monocyte,23316,106625,21.867291910902697
sample00031,nk_cell,14167,106625,13.286752637749121
sample00032,b_cell,11118,101357,10.969148652781751
sample00032,cd4_t_cell,32582,101357,32.14578174176425
sample00032,cd8_t_cell,19704,101357,19.440196533046556
sample00032,monocyte,17350,101357,17.117712639482228
sample00032,nk_cell,20603,101357,20.327160432925204
sample00033,b_cell,9054,93131,9.721789737037078
sample00033,cd4_t_cell,24897,93131,26.73331114236935
sample00033,cd8_t_cell,31679,93131,34.015526516412365
sample00033,monocyte,11932,93131,12.812060431005786
sample00033,nk_cell,15569,93131,16.71731217317542
sample00034,b_cell,8350,103870,8.038894772311544
sample00034,cd4_t_cell,36716,103870,35.3480311928372
sample00034,cd8_t_cell,26526,103870,25.53769134495042
sample00034,monocyte,21284,103870,20.49099836333879
sample00034,nk_cell,10994,103870,10.584384326562049
sample00035,b_cell,5327,94622,5.629768975502525
sample00035,cd4_t_cell,38264,94622,40.4387985880662
sample00035,cd8_t_cell,28094,94622,29.6907695884678
sample00035,monocyte,15688,94622,16.579653780304792
sample00035,nk_cell,7249,94622,7.661009067658683
sample00036,b_cell,8635,103532,8.34041648958776
sample00036,cd4_t_cell,31787,103532,30.70258470810957
sample00036,cd8_t_cell,29458,103532,28.45303867403315
sample00036,monocyte,17154,103532,16.568790325696405
sample00036,nk_cell,16498,103532,15.935169802573117
sample00037,b_cell,8915,92368,9.65161094751429
sample00037,cd4_t_cell,24564,92368,26.593625498007967
sample00037,cd8_t_cell,21012,92368,22.748137883249612
sample00037,monocyte,23510,92368,25.45253767538542
sample00037,nk_cell,14367,92368,15.554087995842716
sample00038,b_cell,12062,98897,12.196527700536922
sample00038,cd4_t_cell,33109,98897,33.47826526588268
sample00038,cd8_t_cell,18923,98897,19.134048555567915
sample00038,monocyte,20427,98897,20.65482269431833
sample00038,nk_cell,14376,98897,14.536335783694145
sample00039,b_cell,14634,107756,13.580682282193102
sample00039,cd4_t_cell,35553,107756,32.99398641374958
sample00039,cd8_t_cell,26888,107756,24.952670848955048
sample00039,monocyte,18809,107756,17.45517650989272
sample00039,nk_cell,11872,107756,11.017483945209547
sample00040,b_cell,11007,105943,10.389549097156017
sample00040,cd4_t_cell,25872,105943,24.420679044391797
sample00040,cd8_t_cell,25723,105943,24.280037378590375
sample00040,monocyte,25016,105943,23.612697393881614
sample00040,nk_cell,18325,105943,17.297037085980197
sample00041,b_cell,11583,91358,12.678692615862868
sample00041,cd4_t_cell,22586,91358,24.72252019527573
sample00041,cd8_t_cell,23517,91358,25.74158803826704
sample00041,monocyte,19241,91358,21.061100286783862
sample00041,nk_cell,14431,91358,15.796098863810503
sample00042,b_cell,12118,111631,10.855407548082521
sample00042,cd4_t_cell,41403,111631,37.089159821196624
sample00042,cd8_t_cell,22342,111631,20.014153774489166
sample00042,monocyte,17108,111631,15.325492022825202
sample00042,nk_cell,18660,111631,16.71578683340649
sample00043,b_cell,4750,104827,4.531275339368674
sample00043,cd4_t_cell,36392,104827,34.71624676848522
sample00043,cd8_t_cell,23553,104827,22.468448014347448
sample00043,monocyte,24363,104827,23.241149703797685
sample00043,nk_cell,15769,104827,15.042880174000972
sample00044,b_cell,15793,106034,14.894279193466248
sample00044,cd4_t_cell,37025,106034,34.91804515532754
sample00044,cd8_t_cell,25351,106034,23.908369013712583
sample00044,monocyte,13893,106034,13.10240111662297
sample00044,nk_cell,13972,106034,13.176905520870664
sample00045,b_cell,13792,104473,13.201497037512084
sample00045,cd4_t_cell,33714,104473,32.27053879949843
sample00045,cd8_t_cell,26314,104473,25.187368985288067
sample00045,monocyte,13548,104473,12.967943870665147
sample00045,nk_cell,17105,104473,16.372651307036268
sample00046,b_cell,7726,105731,7.307223047166866
sample00046,cd4_t_cell,29221,105731,27.637116834230262
sample00046,cd8_t_cell,25456,105731,24.076193358617623
sample00046,monocyte,25427,105731,24.04876526278953
sample00046,nk_cell,17901,105731,16.930701497195713
sample00047,b_cell,8249,93338,8.837772397094431
sample00047,cd4_t_cell,37597,93338,40.28048597570121
sample00047,cd8_t_cell,20566,93338,22.033898305084744
sample00047,monocyte,15869,93338,17.001649917504125
sample00047,nk_cell,11057,93338,11.846193404615484
sample00048,b_cell,13648,105178,12.976097663009375
sample00048,cd4_t_cell,31150,105178,29.61645971591017
sample00048,cd8_t_cell,32565,105178,30.961798094658576
sample00048,monocyte,17485,105178,16.62419897697237
sample00048,nk_cell,10330,105178,9.821445549449505
sample00049,b_cell,11419,104513,10.92591352271966
sample00049,cd4_t_cell,29883,104513,28.592615272741188
sample00049,cd8_t_cell,20811,104513,19.91235540076354
sample00049,monocyte,20669,104513,19.776487135571653
sample00049,nk_cell,21731,104513,20.792628668203957
sample00050,b_cell,14113,106504,13.251145496882746
sample00050,cd4_t_cell,32832,106504,30.827011192067904
sample00050,cd8_t_cell,32701,106504,30.704011116953357
sample00050,monocyte,12899,106504,12.111282205363178
sample00050,nk_cell,13959,106504,13.10654998873282
sample00051,b_cell,9765,88918,10.982028385703682
sample00051,cd4_t_cell,25644,88918,28.840054882026134
sample00051,cd8_t_cell,21622,88918,24.316786252502308
sample00051,monocyte,19209,88918,21.603050001124632
sample00051,nk_cell,12678,88918,14.258080478643246
sample00052,b_cell,11122,95942,11.592420420670821
sample00052,cd4_t_cell,21886,95942,22.811698734652186
sample00052,cd8_t_cell,30718,95942,32.017260428175355
sample00052,monocyte,20577,95942,21.44733276354464
sample00052,nk_cell,11639,95942,12.131287652956994
sample00053,b_cell,11822,99135,11.925152569728148
sample00053,cd4_t_cell,30587,99135,30.85388611489383
sample00053,cd8_t_cell,26750,99135,26.983406465930297
sample00053,monocyte,22544,99135,22.74070711655823
sample00053,nk_cell,7432,99135,7.496847732889495
sample00054,b_cell,7782,99486,7.822206139557325
sample00054,cd4_t_cell,26399,99486,26.535391914440222
sample00054,cd8_t_cell,26235,99486,26.37054459924009
sample00054,monocyte,20742,99486,20.849164706591882
sample00054,nk_cell,18328,99486,18.422692640170478
sample00055,b_cell,11645,101344,11.490566782443953
sample00055,cd4_t_cell,34912,101344,34.44900536785602
sample00055,cd8_t_cell,23172,101344,22.864698452794443
sample00055,monocyte,16223,101344,16.00785443637512
